,_id,created_date,legislator_id,legislator_name,party,state,text,user_id,Label
10050,908680285801340928,2017-09-15 13:13:57,R000583,Thomas J. Rooney,R,FL,RT @realDonaldTrump: WE ARE WITH YOU FLORIDA! Emergency Information 1-800-342-3557 https://t.co/zbWkR5VmDp Volunteer 1-800-FL-HELP-1…,23970171,2.0
3751,832702445385965569,2017-02-17 21:25:08,M001143,Betty Louise McCollum,D,MN,The Recovery Act passed in @BarackObama's first month in office. @realDonaldTrump hasn't lifted a finger to create jobs in his first month.,516880804,-2.0
28025,936409610470281219,2017-12-01 01:40:23,B001273,Diane Black,R,TN,California's dangerous sanctuary cities policy cost #KateSteinle her life &amp; gave her no justice. Thankful to join @POTUS in the fight to strengthen our immigration laws &amp; ensure this never happens again. https://t.co/KjQGWofTlf,110545675,2.0
953,798582992922775552,2016-11-15 17:46:37,B001289,Bradley Byrne,R,AL,Enjoyed speaking with @annaefoster today on @bbc5live about how Republicans will govern under President-elect Donald Trump. https://t.co/XzjRLpFjN9,2253968388,0.0
21308,864647676046061568,2017-05-17 01:04:05,N000002,Jerrold L. Nadler,D,NY,RT @OversightDems: BREAKING: All Dems on @OversightDems &amp; @HouseJudDems Demand Immediate Investigation of #POTUS AG &amp; Aides. #ComeyMemo htt…,40302336,-2.0
23640,887751212728279041,2017-07-19 19:09:17,G000563,Bob Gibbs,R,OH,RT @EPA: WIFIA supports @POTUS’ agenda to rebuild America’s water infrastructure. #WIFIA #Infrastructure https://t.co/HIbsaBqGEn,234822928,2.0
11333,928289436722520064,2017-11-08 15:53:43,S001150,Adam B. Schiff,D,CA,"@realDonaldTrump @POTUS I haven't even gotten to the President's foreign policy. Cozying up to dictators, threatening war via tweet, hollowing out our State Department...",29501253,-2.0
20610,858380370672091137,2017-04-29 18:00:02,D000625,Daniel M. Donovan,R,NY,.@POTUS has strengthened national security by taking measured action to show that the US will not tolerate Assad’s aggression #Trump100Days,3353670647,2.0
19939,854348667557486592,2017-04-18 14:59:30,B001230,Tammy Baldwin,D,WI,.@POTUS @SenateMajLdr @SpeakerRyan I stand ready to work with @POTUS and take action that respects #MadeInWI hard work with real reforms and results.,1074518754,1.0
25425,905086482641285120,2017-09-05 15:13:27,V000131,Marc A. Veasey,D,TX,.@POTUS says #DACA is unconstitutional - but I have trouble trusting the Admin that tried to implement #MuslimBan &amp; pardoned #SheriffArpaio,1074129612,-2.0
26302,915966256238485504,2017-10-05 15:45:47,S000583,Lamar S. Smith,R,TX,"RT @HouseScience: With guidance from @POTUS, @VP &amp; Natl Space Council, America will be an international leader into the #NextFrontier…",15856366,1.0
16259,830069360215588864,2017-02-10 15:02:12,S001193,Eric Swalwell,D,CA,The arrows continue to point in just one direction ➡️#RussianHacking helped @POTUS win &amp; @potus' team may have broke law to return the favor https://t.co/sBS5IyBkjw,942156122,-2.0
11389,929360866130227200,2017-11-11 14:51:11,F000461,Bill Flores,R,TX,"RT @realDonaldTrump: On this wonderful Veterans Day, I want to express the incredible gratitude of the entire American Nation to our GRE…",237312687,2.0
13469,955924742309076993,2018-01-23 22:06:33,M000133,Edward J. Markey,D,MA,Americans are worried @realDonaldTrump could launch an unjustified nuclear war. Let’s not give him the chance. We should pass HR 669/S 200 by @RepTedLieu &amp; me which requires @POTUS to get Congressional approval before launching a #nuclear first strike. https://t.co/Yh6AssuA8l,21406834,-2.0
8843,891382843510841345,2017-07-29 19:40:05,G000565,Paul A. Gosar,R,AZ,RT @realDonaldTrump: U.S. Stock Market up almost 20% since Election!,240760644,2.0
22375,873248096922238977,2017-06-09 18:39:05,F000457,Alan Stuart Franken,D,MN,"@HouseGOP But now, by attempting to give bankers &amp; hedge fund managers control over our economy, GOP and @POTUS are inviting another financial crisis.",171968009,-2.0
15901,827593959484555264,2017-02-03 19:05:50,C000059,Ken S. Calvert,R,CA,I applaud @POTUS for imposing new sanctions on Iran for its repeated violations of international resolutions and support for terrorism.,22545491,2.0
13223,954374934641414144,2018-01-19 15:28:10,H001068,Jared Huffman,D,CA,"There's no final spending plan, no long term CHIP funding, no DACA deal, but @HouseGOP plans to leave town, and @realDonaldTrump plans a party at mar a lago 🤔 https://t.co/4X4cCVQcLd",1071102246,-2.0
12987,951840754363785216,2018-01-12 15:38:14,G000553,Al Green,D,TX,"Congressional condemnation of racist bigotry is not enough. In Congress, talk is cheap-it’s how we vote that counts. Next week, I will again bring a resolution to impeach @realDonaldTrump. I will put my vote where my mouth is. #RepealandReplaceTrump",156333623,-2.0
17721,836951764943454209,2017-03-01 14:50:25,R000570,Paul D. Ryan,R,WI,"Last night, @POTUS delivered a bold, optimistic message to the American people. https://t.co/T0ELhLpWV7 https://t.co/GrbrjqE7bw",18916432,2.0
14641,822497550007758850,2017-01-20 17:34:31,F000460,Blake Farenthold,R,TX,"Congratulations, @POTUS, President Donald J. Trump! https://t.co/fJhl1TM9Qw",17896154,1.0
17878,837340561547771905,2017-03-02 16:35:21,R000570,Paul D. Ryan,R,WI,I join @POTUS in condemning anti-Semitic attacks and threats on #JCCs. The House stands with the Jewish community. https://t.co/7MAgRhYzDu,18916432,1.0
22869,878276090350809089,2017-06-23 15:38:32,D000625,Daniel M. Donovan,R,NY,Looking forward to seeing @POTUS sign the VA Accountability and Whistleblower Protection Act into law today: https://t.co/M7B3TJltOt,3353670647,1.0
