date_idx,num_tweets,text
0,17,rt erictrump : join my family in this incredible movement to makeamericagreatagain ! ! now it is up to you ! please vote for america ! https : rt donaldjtrumpjr : final push ! eric and i doing dozens of radio interviews . we can win this thing ! get out and vote ! maga electionday ht still time to votetrump ! ivoted electionnight https : t . co uztyay1ba6don't let up keep getting out to vote this election is far from over ! we are doing well but there is much time left . go florida ! just out according to cnn : utah officials report voting machine problems across entire country i will be watching the election results from trump tower in manhattan with my family and friends . very exciting ! electionday https : t . co mxraxyntjy https : t . co fzhoncih21we need your vote . go to the polls ! let 's continue this movement ! find your poll location : https : t . co vmudvi1tx1 https : t . co zgox74ebhwvote today ! go to https : t . co mxraxyntjy to find your polling location . we are going to make america great again ! https : t . co kpq5ey9vwqtoday we make america great again ! today we are going to win the great state of michigan and we are going to win back the white house ! thank you mi ! https : t . co onrpevzhrwrt donaldjtrumpjr : thanks new hampshire ! ! ! nh newhampshire maga https : t . co jdgcyjvjpkrt detroitnews : . ivankatrump in michigan : this is your movement https : t . co 0sa7huoop1 realdonaldtrump https : t . co cmxeqshudjunbelievable evening in new hampshire thank you ! flying to grand rapids michigan now . watch nh rally here : https : t . co hp88anrfgkbig news to share in new hampshire tonight ! polls looking great ! see you soon . today in florida i pledged to stand with the people of cuba and venezuela in their fight against oppression cont : https : t . co 8eelqk2wuwthank you pennsylvania ! going to new hampshire now and on to michigan . watch pa rally here : https : t . co d29dlingst https : t . co zch9crfikm
1,3,such a beautiful and important evening ! the forgotten man and woman will never be forgotten again . we will all come together as never beforewatching the returns at 9 : 45pm . electionnight maga https : t . co hfujerzbodrt ivankatrump : such a surreal moment to vote for my father for president of the united states ! make your voice heard and vote ! election2
2,1,happy 241st birthday to the u . s . marine corps ! thank you for your service ! ! https : t . co lz2dhrxzo4
3,5,today we express our deepest gratitude to all those who have served in our armed forces . thankavet https : t . co wpk7qwpk8zbusy day planned in new york . will soon be making some very important decisions on the people who will be running our government ! love the fact that the small groups of protesters last night have passion for our great country . we will all come together and be proud ! just had a very open and successful presidential election . now professional protesters incited by the media are protesting . very unfair ! a fantastic day in d . c . met with president obama for first time . really good meeting great chemistry . melania liked mrs . o a lot !
4,1,this will prove to be a great time in the lives of all americans . we will unite and we will win win win !
5,8,the debates especially the second and third plus speeches and intensity of the large rallies plus our great supporters gave us the win ! i will be interviewed on 60minutes tonight after the nfl game 7 : 00 p . m . enjoy ! the nytimes states today that djt believes more countries should acquire nuclear weapons . how dishonest are they . i never said this ! governor john kasich of the great great great state of ohio called to congratulate me on the win . the people of ohio were incredible ! jeb bush george w and george h . w . all called to express their best wishes on the win . very nice ! mitt romney called to congratulate me on the win . very nice ! the nytimes sent a letter to their subscribers apologizing for their bad coverage of me . i wonder if it will change doubt it ? wow the nytimes is losing thousands of subscribers because of their very poor and highly inaccurate coverage of the trump phenomena
7,2,the electoral college is actually genius in that it brings all states including the smaller ones into play . campaigning is much different ! if the election were based on total popular vote i would have campaigned in n . y . florida and california and won even bigger and more easily
8,5,australia new zealand and more . i am always available to them . nytimes is just upset that they looked like fools in their coverage of me . i have recieved and taken calls from many foreign leaders despite what the failing nytimes said . russia u . k . china saudi arabia japanthe failing nytimes story is so totally wrong on transition . it is going so smoothly . also i have spoken to many foreign leaders . i am not trying to get top level security clearance for my children . this was a typically false news story . very organized process taking place as i decide on cabinet and many other positions . i am the only one who knows who the finalists are !
9,1,my transition team which is working long hours and doing a fantastic job will be seeing many great candidates today . maga
10,4,will be working all weekend in choosing the great men and women who will be helping to make america great again ! rt transition2017 : president elect trump announces selections for attorney general national security advisor cia director . more here : ht i worked hard with bill ford to keep the lincoln plant in kentucky . i owed it to the great state of kentucky for their confidence in me ! just got a call from my friend bill ford chairman of ford who advised me that he will be keeping the lincoln plant in kentucky no mexico
11,4,the theater must always be a safe and special place . the cast of hamilton was very rude last night to a very good man mike pence . apologize ! our wonderful future v . p . mike pence was harassed last night at the theater by the cast of hamilton cameras blazing . this should not happen ! the only bad thing about winning the presidency is that i did not have the time to go through a long but winning trial on trump u . too bad ! i settled the trump university lawsuit for a small fraction of the potential award because as president i have to focus on our country .
12,5,i have always had a good relationship with chuck schumer . he is far smarter than harry r and has the ability to get things done . good news ! general james mad dog mattis who is being considered for secretary of defense was very impressive yesterday . a true general 's general ! i watched parts of nbcsnl saturday night live last night . it is a totally one sided biased show nothing funny at all . equal time for us ? numerous patriots will be coming to bedminster today as i continue to fill out the various positions necessary to make america great again ! the cast and producers of hamilton which i hear is highly overrated should immediately apologize to mike pence for their terrible behavior
13,1,. transition2017 update and policy plans for the first 100 days . https : t . co htgpxfpwej
14,10,i am seriously considering dr . ben carson as the head of hud . i've gotten to know him well he 's a greatly talented person who loves people ! the meeting with the nytimes is back on at 12 : 30 today . look forward to it ! 'jeff sessions a fitting selection for attorney general'https : t . co ljktkazsfy'president elect donald j . trump 's cia director garners praise'https : t . co ufdlwtwbeq https : t . co mrpag7oziqgreat meetings will take place today at trump tower concerning the formation of the people who will run our government for the next 8 years . the failing nytimes just announced that complaints about them are at a 15 year high . i can fully understand that but why announce ? perhaps a new meeting will be set up with the nytimes . in the meantime they continue to cover me inaccurately and with a nasty tone ! i cancelled today 's meeting with the failing nytimes when the terms and conditions of the meeting were changed at the last moment . not nicemany people would like to see nigel farage represent great britain as their ambassador to the united states . he would do a great job ! prior to the election it was well known that i have interests in properties all over the world . only the crooked media makes this a big deal !
15,1,bus crash in tennessee so sad amp ; so terrible . condolences to all family members and loved ones . these beautiful children will be remembered !
16,3,i am working hard even on thanksgiving trying to get carrier a . c . company to stay in the u . s . indiana . making progress will know soon ! happy thanksgiving to everyone . we will together make america great again ! let us give thanks for all that we have and let us boldly face the exciting new frontiers that lie ahead . happy th https : t . co ry9mggjrxm
18,1,fidel castro is dead !
19,12,states instead of the 15 states that i visited . i would have won even more easily and convincingly but smaller states are forgotten ! it would have been much easier for me to win the so called popular vote than the electoral college in that i would only campaign in 3 or 4 in addition to winning the electoral college in a landslide i won the popular vote if you deduct the millions of people who voted illegallytrump is going to be our president . we owe him an open mind and the chance to lead . so much time and money will be spent same result ! sadthis election . that is a direct threat to our democracy . she then said we have to accept the results and look to the future donald of position . then separately she stated he said something truly horrifying . . . he refused to say that he would respect the results of during a general election . i for one am appalled that somebody that is the nominee of one of our two major parties would take that kind and fair elections . we've accepted the outcomes when we may not have liked them and that is what must be expected of anyone standing on a hillary 's debate answer on delay : that is horrifying . that is not the way our democracy works . been around for 240 years . we've had free hillary clinton conceded the election when she called me just prior to the victory speech and after the results were in . nothing will changethe democrats when they incorrectly thought they were going to win asked that the election night tabulation be accepted . not so anymore ! the green party scam to fill up their coffers by asking for impossible recounts is now being joined by the badly defeated amp ; demoralized dems
20,3,just met with general petraeus was very impressed ! if cuba is unwilling to make a better deal for the cuban people the cuban american people and the u . s . as a whole i will terminate deal . serious voter fraud in virginia new hampshire and california so why isn't the media reporting on this ? serious bias big problem !
21,11,"'president elect donald j . trump nominates elaine chao as secretary of the department of transportation'https : t . co 5fmgdhazxb'president elect donald j . trump intends to nominate congressman tom price and seema verma . 'https : t . co zth5cuy26z https : t . co twigakjs3srt danscavino : back to cincinnati ohio this thursday 12 1 16 at 7pm for peotus realdonaldtrump 's thankyoutour2016 ! join us ! https : my thoughts and prayers are with the great people of tennessee during these terrible wildfires . stay safe ! nobody should be allowed to burn the american flag if they do there must be consequences perhaps loss of citizenship or year in jail ! i thought that cnn would get better after they failed so badly in their support of hillary clinton however since election they are worse ! the great state of michigan was just certified as a trump win giving all of our make america great again supporters another victory 306 ! . cnn is so embarrassed by their total 100 support of hillary clinton and yet her loss in a landslide that they don't know what to do . sdcritic : highonhillcrest jeffzeleny cnn there is no question that voterfraud did take place and in favor of corrupthillary ! fiiibuster : jeffzeleny pathetic you have no sufficient evidence that donald trump did not suffer from voter fraud shame ! bad reporter . , 11 29 2016 02 : 19 : 53 , 7723 , 32567 , false , 803423203620245504 twitter for android , joebowman12 : jeffzeleny just another generic cnn part time wannabe journalist ! cnn still doesn't get it . they will never learn ! highonhillcrest : jeffzeleny what proof do u have donaldtrump did not suffer from millions of fraud votes ? journalist ? do your job ! cnn"
22,11,'donald trump is already helping the working class ' https : t . co gtuncqhlyxrt danscavino : great interview on foxandfriends by stevedoocy w carrier employee who has a message for peotus realdonaldtrump amp ; vpe 'president elect donald j . trump today announced his intent to nominate steven mnuchin wilbur ross amp ; todd ricketts https : t . co cebxowsnypjoin me in cincinnati ohio tomorrow evening at 7 : 00pm . i am grateful for all of your support . thank you ! tickets : https : t . co 51emq7tffahence legal documents are being crafted which take me completely out of business operations . the presidency is a far more important task ! do this under the law i feel it is visually important as president to in no way have a conflict of interest with my various businesses . . great business in total in order to fully focus on running the country in order to make america great again ! while i am not mandated to . . . . i will be holding a major news conference in new york city with my children on december 15 to discuss the fact that i will be leaving my . . . isis is taking credit for the terrible stabbing attack at ohio state university by a somali refugee who should not have been in our country . big day on thursday for indiana and the great workers of that wonderful state . we will keep our companies and jobs in the u . s . thanks carrieri will be going to indiana on thursday to make a major announcement concerning carrier a . c . staying in indianapolis . great deal for workers !
23,4,heading to u . s . bank arena in cincinnati ohio for a 7pm rally . join me ! tickets : https : t . co hiwqzvhv6mgetting ready to leave for the great state of indiana and meet the hard working and wonderful people of carrier a . c . my thoughts and prayers are with those affected by the tragic storms and tornadoes in the southeastern united states . stay safe ! look forward to going to indiana tomorrow in order to be with the great workers of carrier . they will sell many air conditioners !
24,1,thank you ohio ! together we made history and now the real work begins . america will start winning again ! https : t . co svnsnje7uf
25,6,our great vpe mike pence is in louisiana campaigning for john kennedy for us senate . john will be a tremendous help to us in washington . state treasurer john kennedy is my choice for us senator from louisiana . early voting today ; election next saturday . tigerwoods : can t wait to get back out there and mix it up with the boys . tw heroworldchallenge great to have you back tiger special ! rexnord of indiana is moving to mexico and rather viciously firing all of its 300 workers . this is happening all over our country . no more ! interesting how the u . s . sells taiwan billions of dollars of military equipment but i should not accept a congratulatory call . the president of taiwan called me today to wish me congratulations on winning the presidency . thank you !
26,11,their country the u . s . doesn't tax them or to build a massive military complex in the middle of the south china sea ? i don't think so ! did china ask us if it was ok to devalue their currency making it hard for our companies to compete heavily tax our products going into . . . foxnews will be re running objectified : donald trump the ratings hit produced by the great harvey levin of tmz at 8 : 00 p . m . enjoy ! the green party just dropped its recount suit in pennsylvania and is losing votes in wisconsin recount . just a stein scam to raise money ! expensive mistake ! the united states is open for businessthese companies are able to move between all 50 states with no tax or tariff being charged . please be forewarned prior to making a very . . . wanting to sell their product cars a . c . units etc . back across the border . this tax will make leaving financially difficult but . . . . . without retribution or consequence is wrong ! there will be a tax on our soon to be strong border of 35 for these companies . . . . . . fires its employees builds a new factory or plant in the other country and then thinks it will sell its product back into the u . s . . . . . . . the u . s . is going to substantialy reduce taxes and regulations on businesses but any business that leaves our country for another countryjust tried watching saturday night live unwatchable ! totally biased not funny and the baldwin impersonation just can't get any worse . sad
27,3,thankyoutour2016 12 6 north carolinahttps : t . co 79ahq3nc0v12 8 iowahttps : t . co 1iurtvwmsx12 9 michiga https : t . co vcqaij8qobif the press would cover me accurately amp ; honorably i would have far less reason to tweet . sadly i don't know if that will ever happen ! i am thrilled to nominate dr . realbencarson as our next secretary of the us dept . of housing and urban development https : t . co ojkudfhp3r
28,5,departing new york with general james 'mad dog ' mattis for tonight 's rally in fayetteville north carolina ! see you https : t . co z8sgjbwi09masa said he would never do this had we trump not won the election ! masa softbank of japan has agreed to invest 50 billion in the u . s . toward businesses and 50000 new jobs . . . . join me tonight in fayetteville north carolina at 7pm ! thankyoutour2016 tickets : https : t . co 79ahq3nc0v https : t . co kozce7jeg7boeing is building a brand new 747 air force one for future presidents but costs are out of control more than 4 billion . cancel order !
29,4,join me tomorrow in des moines iowa with vice president elect mike pence at 7 : 00pm ! thankyoutour2016 maga https : t . co geq6st70itwe pause today to remember the 2403 american heroes who selflessly gave their lives at pearl harbor 75 years ago . . . https : t . co r5erlr24q3i will be interviewed on the todayshow at 7 : 30 . enjoy ! a great night in fayetteville north carolina . thank you ! icymi watch here : https : t . co zautgxkppb https : t . co ef9xrwmcia
